"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"18175","Hombre","Grado Universitario","Serbia",69,150,90,1.5,2.5,0,10,10,4
"18176","Mujer","Formacion Profesional","Serbia",42,9,60,1,0.15,2,3,7,4
"18177","Hombre","Secundaria Superior","Serbia",76,60,NA,NA,1,10,10,5,2
"18178","Mujer","Bachiller","Serbia",53,60,180,3,1,0,2,8,3
"18179","Mujer","Bachiller","Serbia",47,30,90,1.5,0.5,0,8,5,4
"18180","Hombre","Bachiller","Serbia",48,60,600,10,1,0,8,3,2
"18181","Mujer","Bachiller","Serbia",50,120,240,4,2,5,8,10,5
"18182","Mujer","Bachiller","Serbia",75,270,NA,NA,4.5,3,8,8,3
"18183","Hombre","Grado Universitario","Serbia",61,140,75,1.25,2.33,3,6,9,4
"18184","Hombre","Secundaria Inferior","Serbia",83,230,NA,NA,3.83,10,10,10,3
"18185","Hombre","Secundaria Superior","Serbia",48,30,120,2,0.5,3,5,4,2
"18186","Mujer","Bachiller","Serbia",26,90,330,5.5,1.5,0,9,0,3
"18187","Hombre",NA,"Serbia",19,0,60,1,0,0,7,5,4
"18188","Mujer","Grado Universitario","Serbia",65,15,270,4.5,0.25,0,7,6,3
"18189","Mujer","Bachiller","Serbia",18,10,360,6,0.17,3,7,8,5
"18190","Mujer","Grado Universitario","Serbia",55,30,60,1,0.5,2,8,8,3
"18191","Mujer","Bachiller","Serbia",46,29,720,12,0.48,0,9,3,3
"18192","Mujer","Bachiller","Serbia",63,120,NA,NA,2,2,6,4,2
"18193","Hombre","Grado Universitario","Serbia",73,120,NA,NA,2,3,9,10,3
"18194","Hombre","Bachiller","Serbia",31,90,390,6.5,1.5,0,5,7,3
"18195","Mujer","Secundaria Superior","Serbia",44,60,180,3,1,0,0,0,3
"18196","Mujer","Bachiller","Serbia",31,14,720,12,0.23,0,6,10,3
"18197","Hombre","Bachiller","Serbia",71,120,NA,NA,2,0,10,9,3
"18198","Hombre","Grado Universitario","Serbia",66,60,60,1,1,8,10,8,3
"18199","Mujer",NA,"Serbia",62,239,NA,NA,3.98,5,8,5,5
"18200","Mujer","Bachiller","Serbia",68,180,NA,NA,3,10,10,10,3
"18201","Hombre","Bachiller","Serbia",58,150,120,2,2.5,5,8,7,4
"18202","Hombre","Formacion Profesional","Serbia",86,240,NA,NA,4,0,8,9,3
"18203","Hombre","Bachiller","Serbia",29,1,1440,24,0.02,0,6,8,4
"18204","Hombre","Formacion Profesional","Serbia",62,0,1320,22,0,0,2,9,3
"18205","Hombre","Bachiller","Serbia",71,125,NA,NA,2.08,3,6,7,3
"18206","Hombre","Grado Universitario","Serbia",26,90,360,6,1.5,0,9,7,4
"18207","Hombre","Grado Universitario","Serbia",42,20,300,5,0.33,0,0,3,5
"18208","Mujer","Secundaria Superior","Serbia",37,60,60,1,1,2,10,6,4
"18209","Hombre","Bachiller","Serbia",36,130,750,12.5,2.17,4,4,8,3
"18210","Hombre","Formacion Profesional","Serbia",67,120,150,2.5,2,5,10,8,3
"18211","Hombre","Bachiller","Serbia",41,58,NA,NA,0.97,0,5,5,2
"18212","Hombre","Grado Universitario","Serbia",55,0,60,1,0,0,7,9,3
"18213","Hombre","Bachiller","Serbia",63,60,180,3,1,0,0,0,3
"18214","Hombre","Secundaria Superior","Serbia",51,0,NA,NA,0,0,5,10,4
"18215","Hombre","Secundaria Inferior","Serbia",74,120,NA,NA,2,3,9,5,2
"18216","Mujer","Formacion Profesional","Serbia",46,30,600,10,0.5,0,8,8,3
"18217","Mujer","Grado Universitario","Serbia",23,60,480,8,1,0,8,5,4
"18218","Hombre","Master/Doctorado","Serbia",76,120,NA,NA,2,1,8,7,3
"18219","Mujer","Formacion Profesional","Serbia",68,60,720,12,1,3,8,5,3
"18220","Hombre","Bachiller","Serbia",51,750,615,10.25,12.5,10,10,10,4
"18221","Hombre","Master/Doctorado","Serbia",30,60,180,3,1,5,6,9,4
"18222","Hombre","Secundaria Superior","Serbia",90,180,NA,NA,3,3,8,7,3
"18223","Hombre","Formacion Profesional","Serbia",20,15,330,5.5,0.25,0,10,5,5
"18224","Hombre","Grado Universitario","Serbia",57,35,510,8.5,0.58,0,6,7,3
